ID,Date,Location,Police District,Police Station,Police,News,Journalists' Notes,Task Force Detainees of the Philippines,RiseUp for Life and Rights,Balay Rehabilitation Center,CCT-DRK Research,Redemptorist Social Mission,Funeral Parlor,Bishop of Caloocan,Philippine Human Rights Information Center,Commission on Human Rights,Assailant
3,Jan-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
4,Aug-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,,0,1.0,0.0,,1.0,0.0,0.0,Police
5,Aug-2016,Caloocan,NPD,PS-1,1,1,,,,0,1.0,0.0,0.0,1.0,,0.0,Police
9,Oct-2016,Caloocan,NPD,PS-1,1,0,,,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,Police
10,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,Police
11,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,,,Police
14,Nov-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
15,Dec-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,Police
16,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,0,1.0,0.0,0.0,0.0,,,Police
19,Oct-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0,Police
22,Jun-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,1,1.0,0.0,,1.0,0.0,0.0,Police
25,Mar-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
26,Jun-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
31,Jul-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
32,Aug-2017,Caloocan,NPD,PS-1,0,1,0.0,,,1,1.0,0.0,,1.0,,,Police
34,Jun-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
35,Jan-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
37,Sep-2016,Caloocan,NPD,PS-1,1,0,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
38,Jan-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
40,Dec-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Police
41,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Police
42,Dec-2016,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Police
44,May-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,1,1.0,0.0,,0.0,0.0,0.0,Police
45,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,,,0.0,,,Police
46,Jun-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,1,0.0,0.0,,0.0,0.0,0.0,Police
47,Jan-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
50,Aug-2016,Caloocan,NPD,PS-1,1,1,,,,1,1.0,0.0,0.0,0.0,,0.0,Police
53,Jun-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
54,Nov-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Police
55,Jun-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,1,0.0,0.0,,0.0,0.0,0.0,Police
57,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
58,Sep-2016,Caloocan,NPD,PS-1,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,Police
59,May-2017,Caloocan,NPD,PS-1,0,1,1.0,0.0,0.0,0,1.0,1.0,,1.0,0.0,0.0,Police
