ID,Date,Location,Police District,Police Station,Police,News,Journalists' Notes,Task Force Detainees of the Philippines,RiseUp for Life and Rights,Balay Rehabilitation Center,CCT-DRK Research,Redemptorist Social Mission,Funeral Parlor,Bishop of Caloocan,Philippine Human Rights Information Center,Commission on Human Rights,Assailant
2,Apr-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,Unidentified
6,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0.0,0.0,0.0,0.0,0.0,,,Unidentified
7,Jul-2017,Caloocan,NPD,PS-1,0,1,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,Unidentified
8,Nov-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
12,Apr-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,Unidentified
13,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,0.0,1.0,1.0,1.0,0.0,,,Unidentified
17,Jun-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Unidentified
18,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
20,Nov-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
21,Oct-2016,Caloocan,NPD,PS-1,1,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
23,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,1.0,0.0,0.0,0.0,0.0,,,Unidentified
24,Apr-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,Unidentified
27,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,0.0,1.0,0.0,0.0,0.0,,,Unidentified
28,Feb-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,Unidentified
29,Mar-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,Unidentified
30,Dec-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Unidentified
33,Aug-2016,Caloocan,NPD,PS-1,1,0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,Unidentified
36,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,0.0,1.0,0.0,0.0,0.0,,,Unidentified
39,Oct-2016,Caloocan,NPD,PS-1,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
43,Mar-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,Unidentified
48,Sep-2016,Caloocan,NPD,PS-1,1,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
49,Sep-2016,Caloocan,NPD,PS-1,1,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
51,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,0.0,1.0,0.0,0.0,0.0,,,Unidentified
56,Sep-2016,Caloocan,NPD,PS-1,1,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unidentified
