ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Police Reports Submitted to the House of Representatives,Task Force Detainees of the Philippines,Philippine Human Rights Information Center,RiseUp for Life and Rights,CCT-DRK Research,Parishes,Assailant
1,Dec-2016,Manila,MPD,PS-2 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
2,Dec-2016,Manila,MPD,PS-11 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
3,Dec-2016,Manila,MPD,PS-7 ,1,1,0.0,0.0,0.0,,,1,0.0,Police
4,Dec-2016,Manila,MPD,PS-7 ,1,1,0.0,0.0,0.0,,,1,0.0,Police
5,Dec-2016,Manila,MPD,PS-8 ,1,1,0.0,0.0,0.0,,,0,0.0,Police
6,Dec-2016,Manila,MPD,PS-8 ,1,1,0.0,0.0,0.0,,,0,0.0,Police
7,Dec-2016,Manila,MPD,PS-6 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
8,Dec-2016,Manila,MPD,PS-10 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
9,Dec-2016,Manila,MPD,PS-6 ,1,1,0.0,1.0,0.0,,,1,1.0,Police
10,Dec-2016,Manila,MPD,PS-6 ,1,1,0.0,1.0,0.0,,,1,1.0,Police
11,Dec-2016,Manila,MPD,PS-1 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
12,Dec-2016,Manila,MPD,PS-7 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
13,Dec-2016,Manila,MPD,PS-10 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
14,Dec-2016,Manila,MPD,PS-9 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
15,Dec-2016,Manila,MPD,PS-3 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
16,Dec-2016,Manila,MPD,PS-3 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
17,Dec-2016,Manila,MPD,PS-11 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
18,Dec-2016,Manila,MPD,PS-3 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
19,Dec-2016,Manila,MPD,PS-7 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
20,Dec-2016,Manila,MPD,PS-7 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
21,Dec-2016,Manila,MPD,PS-6 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
22,Dec-2016,Manila,MPD,PS-11 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
23,Dec-2016,Manila,MPD,PS-11 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
24,Dec-2016,Manila,MPD,PS-11 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
25,Dec-2016,Manila,MPD,PS-10 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
26,Dec-2016,Manila,MPD,PS-1 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
27,Dec-2016,Manila,MPD,PS-1 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
