ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Philippine Human Rights Information Center,Task for Detainees of the Philippines ,RiseUp for Life and Rights,Parishes,CCT-DRK Research,Barangay Holy Spirit Public Safety Office
1,Jul-2016,Quezon City,QCPD,PS 05 Fairview,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Jul-2016,Quezon City,QCPD,PS 08 Project 4,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A
3,Jul-2016,Quezon City,QCPD,PS 06 Batasan,1,1,N/A,N/A,N/A,N/A,N/A,0,N/A
4,Jul-2016,Quezon City,QCPD,PS 11 Galas,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A
5,Jul-2016,Quezon City,QCPD,PS 01 La Loma,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A
6,Jul-2016,Quezon City,QCPD,PS 05 Fairview,1,1,N/A,N/A,N/A,N/A,N/A,0,N/A
7,Jul-2016,Quezon City,QCPD,PS 09 Quirino,1,1,N/A,N/A,N/A,N/A,N/A,0,N/A
8,Jul-2016,Quezon City,QCPD,PS 09 Quirino,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A
9,Jul-2016,Quezon City,QCPD,PS 09 Quirino,1,1,N/A,N/A,N/A,N/A,N/A,0,N/A
10,Jul-2016,Quezon City,QCPD,PS 09 Quirino,1,1,N/A,N/A,N/A,N/A,N/A,0,N/A
11,Jul-2016,Quezon City,QCPD,PS 01 La Loma,1,0,N/A,N/A,N/A,0,0,0,0
12,Jul-2016,Quezon City,QCPD,PS 06 Batasan,1,0,N/A,N/A,N/A,0,0,0,0
13,Jul-2016,Quezon City,QCPD,PS 09 Quirino,1,1,N/A,N/A,N/A,N/A,N/A,0,N/A
14,Aug-2016,Quezon City,QCPD,PS 01 La Loma,1,1,0,0,0,0,0,0,0
15,Aug-2016,Quezon City,QCPD,PS 01 La Loma,1,1,0,0,0,0,0,0,0
16,Aug-2016,Quezon City,QCPD,PS 01 La Loma,1,1,0,0,0,0,0,0,0
19,Sep-2016,Quezon City,QCPD,PS 09 Quirino,1,1,0,0,0,0,0,0,0
20,Sep-2016,Quezon City,QCPD,PS 09 Quirino,1,1,0,0,0,0,0,0,0
22,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
23,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
24,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
25,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
27,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,1
28,Oct-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
29,Oct-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
30,Oct-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,0,0
31,Oct-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,0,0
32,Aug-2016,Quezon City,QCPD,PS 02 Masambong,1,1,N/A,N/A,N/A,0,0,1,0
33,Aug-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,N/A,N/A,N/A,0,0,1,0
34,Aug-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,N/A,N/A,N/A,0,0,1,0
35,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,N/A,N/A,N/A,0,0,1,0
36,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,0,N/A,N/A,N/A,0,0,0,0
37,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,N/A,N/A,N/A,1,1,1,0
38,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,N/A,1,N/A,0,0,0,0
39,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,N/A,0,N/A,0,0,0,0
40,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,N/A,0,N/A,0,0,0,0
41,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,N/A,0,N/A,0,0,0,0
42,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,N/A,0,N/A,0,0,0,0
43,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,N/A,1,1,0,1,1,0
44,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,N/A,1,1,0,1,0,0
45,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,N/A,0,1,0,1,1,0
46,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,1,1,1,0,1,0,0
47,Sep-2016,Quezon City,QCPD,PS 11 Galas,1,1,0,0,1,0,0,1,0
48,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,1,1,1,0
49,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,1,1,0,0
50,Sep-2016,Quezon City,QCPD,PS 10 Kamuning,1,1,0,0,0,0,0,0,0
51,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
52,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,0,0
53,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,0,0
54,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,0,0,0,0,0,0,0,0
55,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,1,1,1,0
56,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
57,Sep-2016,Quezon City,QCPD,PS 05 Fairview,1,1,0,0,0,0,0,0,0
58,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
59,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
60,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,1,0,0,0,0,1,0
61,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,1,0,0,0,0,0,0
62,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,1,0,0,0,0,1,0
63,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,1,0,0,0,0,1,0
64,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,1,0,0,0,0,1,0
65,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,1,0,0,0,0,1,0
